Time,DictSize,Accuracy,Correct,Total
14/08/2022 00:12:22,10,73.33%,22,30
14/08/2022 00:20:09,10,73.33%,22,30
14/08/2022 00:25:12,10,94.00%,47,50
14/08/2022 00:35:42,10,99.00%,99,100
14/08/2022 01:36:14,30,77.00%,77,100
14/08/2022 01:46:59,2275,17.00%,17,100
14/08/2022 02:49:59,100,44.00%,44,100
14/08/2022 11:02:25,100,51.00%,51,100
14/08/2022 11:24:21,40,67.00%,67,100
14/08/2022 11:36:15,40,87.00%,87,100
14/08/2022 11:49:43,100,67.00%,67,100
14/08/2022 12:10:02,2275,34.00%,34,100
14/08/2022 12:34:45,100,66.00%,66,100
14/08/2022 13:11:00,100,66.00%,66,100
14/08/2022 15:49:26,100,75.00%,75,100
14/08/2022 16:31:38,100,77.00%,77,100
14/08/2022 17:33:36,100,82.00%,82,100
14/08/2022 19:16:46,100,80.00%,80,100
14/08/2022 19:48:52,100,86.00%,86,100
14/08/2022 20:09:28,2275,29.00%,29,100
14/08/2022 20:21:34,200,60.00%,60,100
14/08/2022 20:57:04,200,62.00%,62,100
14/08/2022 23:41:35,200,70.00%,70,100
15/08/2022 11:29:38,200,68.00%,68,100
15/08/2022 13:19:06,200,69.00%,69,100
15/08/2022 15:02:42,10,100.00%,10,10
15/08/2022 15:06:17,200,73.33%,22,30
15/08/2022 18:10:40,200,76.00%,76,100
15/08/2022 18:42:36,200,72.00%,72,100
15/08/2022 22:39:53,200,67.00%,67,100
15/08/2022 23:03:07,200,85.00%,85,100
15/08/2022 23:32:27,2275,36.00%,36,100
16/08/2022 11:51:57,200,75.00%,75,100
16/08/2022 16:01:20,200,78.00%,78,100
16/08/2022 18:18:07,200,80.00%,80,100
16/08/2022 18:37:33,200,75.00%,75,100
16/08/2022 21:19:19,200,77.00%,77,100
16/08/2022 21:39:15,10,86.00%,86,100
16/08/2022 21:47:24,10,97.00%,97,100
16/08/2022 22:06:50,200,86.00%,86,100
16/08/2022 22:22:41,2275,34.00%,34,100
16/08/2022 22:49:11,400,48.00%,48,100
17/08/2022 15:26:56,10,75.00%,75,100
17/08/2022 15:55:49,10,89.00%,89,100
17/08/2022 19:47:50,10,74.00%,74,100
17/08/2022 21:35:47,400,54.00%,54,100
17/08/2022 22:02:11,10,77.00%,77,100
19/08/2022 12:01:36,10,79.00%,79,100
20/08/2022 04:09:20,10,63.00%,63,100
20/08/2022 23:49:26,10,83.00%,83,100
21/08/2022 00:10:39,400,57.00%,57,100
21/08/2022 00:19:48,10,95.00%,95,100
21/08/2022 01:18:43,400,59.00%,59,100
21/08/2022 01:48:09,10,95.00%,95,100
21/08/2022 02:02:13,400,66.00%,66,100
22/08/2022 02:59:58,10,92.00%,92,100
22/08/2022 03:31:14,400,65.00%,65,100
22/08/2022 03:51:14,10,81.00%,81,100
22/08/2022 04:04:48,400,67.00%,67,100
23/08/2022 20:20:18,10,68.00%,68,100
23/08/2022 21:02:45,10,92.00%,92,100
23/08/2022 22:21:20,400,64.00%,64,100
23/08/2022 23:08:55,400,54.00%,54,100
23/08/2022 23:42:57,400,61.00%,61,100
23/08/2022 23:57:14,400,71.00%,71,100
24/08/2022 16:09:26,10,93.00%,93,100
24/08/2022 16:32:57,400,65.00%,65,100
24/08/2022 16:46:32,400,76.00%,76,100
24/08/2022 17:21:12,400,66.00%,66,100
27/08/2022 00:18:01,10,75.00%,75,100
27/08/2022 00:51:10,10,98.00%,98,100
27/08/2022 01:49:12,400,73.00%,73,100
27/08/2022 03:26:02,2275,43.00%,43,100
